Classification,Year,Period,Period Desc.,Trade Flow,Reporter Code,Reporter,Partner,Commodity Code,Commodity,Netweight (kg),Trade Value (US$)
HS,2018,201801,Jan-18,Imports,710,South Africa,China,3305,Hair preparations; for use on the hair,70930,182707
HS,2018,201803,Mar-18,Imports,710,South Africa,China,3305,Hair preparations; for use on the hair,42166,83821
HS,2018,201804,Apr-18,Imports,710,South Africa,China,3305,Hair preparations; for use on the hair,15699,31430
HS,2018,201802,Feb-18,Imports,710,South Africa,China,3305,Hair preparations; for use on the hair,62737,181705
HS,2018,201804,Apr-18,Exports,724,Spain,China,330510,Hair preparations; shampoos,4298,17987
HS,2018,201801,Jan-18,Exports,724,Spain,China,330510,Hair preparations; shampoos,3480,8756
HS,2018,201801,Jan-18,Imports,124,Canada,China,330530,Hair preparations; lacquers,556,4786
HS,2018,201801,Jan-18,Imports,124,Canada,China,330590,Hair preparations; n.e.s. in heading no. 3305,361292,733417
HS,2018,201811,Nov-18,Imports,124,Canada,China,330520,Hair preparations; for permanent waving or straightening,,4827
HS,2018,201811,Nov-18,Exports,124,Canada,China,330530,Hair preparations; lacquers,158,765
HS,2018,201811,Nov-18,Exports,124,Canada,China,330590,Hair preparations; n.e.s. in heading no. 3305,9270,58828
HS,2018,201805,May-18,Imports,826,United Kingdom,China,330510,Hair preparations; shampoos,387017,675314
HS,2018,201805,May-18,Imports,826,United Kingdom,China,330520,Hair preparations; for permanent waving or straightening,1250,3140
HS,2018,201805,May-18,Imports,826,United Kingdom,China,330530,Hair preparations; lacquers,6205,17890
HS,2018,201805,May-18,Imports,826,United Kingdom,China,330590,Hair preparations; n.e.s. in heading no. 3305,152320,553465
HS,2018,201803,Mar-18,Exports,124,Canada,China,330590,Hair preparations; n.e.s. in heading no. 3305,1599,10147
HS,2018,201806,Jun-18,Exports,826,United Kingdom,China,330510,Hair preparations; shampoos,16300,288885
HS,2018,201806,Jun-18,Imports,124,Canada,China,330590,Hair preparations; n.e.s. in heading no. 3305,524341,764600
HS,2018,201806,Jun-18,Exports,826,United Kingdom,China,330530,Hair preparations; lacquers,1502,22139
HS,2018,201806,Jun-18,Exports,826,United Kingdom,China,330590,Hair preparations; n.e.s. in heading no. 3305,5629,15662
HS,2018,201805,May-18,Exports,826,United Kingdom,China,330510,Hair preparations; shampoos,21685,689565
HS,2018,201808,Aug-18,Imports,724,Spain,China,330590,Hair preparations; n.e.s. in heading no. 3305,3444,14825
HS,2018,201806,Jun-18,Imports,826,United Kingdom,China,330510,Hair preparations; shampoos,341103,605238
HS,2018,201806,Jun-18,Imports,826,United Kingdom,China,330530,Hair preparations; lacquers,2930,9152
HS,2018,201806,Jun-18,Imports,826,United Kingdom,China,330590,Hair preparations; n.e.s. in heading no. 3305,145471,373517
HS,2018,201803,Mar-18,Imports,710,South Africa,China,330510,Hair preparations; shampoos,13867,24023
HS,2018,201803,Mar-18,Imports,710,South Africa,China,330520,Hair preparations; for permanent waving or straightening,1527,3805
HS,2018,201803,Mar-18,Imports,710,South Africa,China,330530,Hair preparations; lacquers,1889,1921
HS,2018,201803,Mar-18,Imports,710,South Africa,China,330590,Hair preparations; n.e.s. in heading no. 3305,24883,54073
HS,2018,201803,Mar-18,Imports,826,United Kingdom,China,330520,Hair preparations; for permanent waving or straightening,1250,3510
HS,2018,201808,Aug-18,Imports,724,Spain,China,330510,Hair preparations; shampoos,104447,219573
HS,2018,201803,Mar-18,Imports,124,Canada,China,330590,Hair preparations; n.e.s. in heading no. 3305,51428,327877
HS,2018,201802,Feb-18,Exports,826,United Kingdom,China,330510,Hair preparations; shampoos,629,12016
HS,2018,201802,Feb-18,Exports,826,United Kingdom,China,330590,Hair preparations; n.e.s. in heading no. 3305,272,12324
HS,2018,201808,Aug-18,Imports,124,Canada,China,330530,Hair preparations; lacquers,1643,8345
HS,2018,201811,Nov-18,Imports,124,Canada,China,330510,Hair preparations; shampoos,,152051
HS,2018,201811,Nov-18,Exports,124,Canada,China,330510,Hair preparations; shampoos,36700,142253
HS,2018,201803,Mar-18,Exports,124,Canada,China,330510,Hair preparations; shampoos,1052,4079
HS,2018,201803,Mar-18,Exports,124,Canada,China,3305,Hair preparations; for use on the hair,2651,14226
HS,2018,201809,Sep-18,Imports,124,Canada,China,330510,Hair preparations; shampoos,,141429
HS,2018,201807,Jul-18,Exports,124,Canada,China,330510,Hair preparations; shampoos,2059,7981
HS,2018,201804,Apr-18,Exports,724,Spain,China,3305,Hair preparations; for use on the hair,113657,642994
HS,2018,201811,Nov-18,Exports,124,Canada,China,3305,Hair preparations; for use on the hair,46128,201846
HS,2018,201805,May-18,Imports,826,United Kingdom,China,3305,Hair preparations; for use on the hair,546792,1249809
HS,2018,201808,Aug-18,Exports,124,Canada,China,3305,Hair preparations; for use on the hair,28697,139959
HS,2018,201808,Aug-18,Imports,124,Canada,China,330510,Hair preparations; shampoos,,346301
HS,2018,201808,Aug-18,Imports,124,Canada,China,3305,Hair preparations; for use on the hair,,1136657
HS,2018,201808,Aug-18,Imports,826,United Kingdom,China,3305,Hair preparations; for use on the hair,657203,1799596
HS,2018,201802,Feb-18,Imports,724,Spain,China,3305,Hair preparations; for use on the hair,106280,179479
HS,2018,201803,Mar-18,Imports,124,Canada,China,330510,Hair preparations; shampoos,,118945
HS,2018,201804,Apr-18,Imports,124,Canada,China,330510,Hair preparations; shampoos,,145043
HS,2018,201805,May-18,Exports,124,Canada,China,3305,Hair preparations; for use on the hair,2680,10388
HS,2018,201805,May-18,Exports,124,Canada,China,330510,Hair preparations; shampoos,2680,10388
HS,2018,201801,Jan-18,Exports,124,Canada,China,330510,Hair preparations; shampoos,4052,15704
HS,2018,201804,Apr-18,Imports,724,Spain,China,3305,Hair preparations; for use on the hair,44278,85085
HS,2018,201806,Jun-18,Exports,124,Canada,China,3305,Hair preparations; for use on the hair,0,61644
HS,2018,201804,Apr-18,Exports,826,United Kingdom,China,3305,Hair preparations; for use on the hair,78156,1821495
HS,2018,201810,Oct-18,Imports,124,Canada,China,3305,Hair preparations; for use on the hair,0,972000
HS,2018,201809,Sep-18,Exports,124,Canada,China,330510,Hair preparations; shampoos,9387,36383
HS,2018,201808,Aug-18,Exports,724,Spain,China,3305,Hair preparations; for use on the hair,67565,551823
HS,2018,201807,Jul-18,Imports,124,Canada,China,3305,Hair preparations; for use on the hair,,1049935
HS,2018,201802,Feb-18,Exports,826,United Kingdom,China,3305,Hair preparations; for use on the hair,901,24340
HS,2018,201808,Aug-18,Exports,124,Canada,China,330510,Hair preparations; shampoos,17068,66155
HS,2018,201806,Jun-18,Exports,826,United Kingdom,China,3305,Hair preparations; for use on the hair,23431,326686
HS,2018,201806,Jun-18,Exports,724,Spain,China,3305,Hair preparations; for use on the hair,58788,405059
HS,2018,201802,Feb-18,Imports,124,Canada,China,3305,Hair preparations; for use on the hair,0,507512
HS,2018,201805,May-18,Imports,124,Canada,China,3305,Hair preparations; for use on the hair,0,973867
HS,2018,201807,Jul-18,Imports,826,United Kingdom,China,3305,Hair preparations; for use on the hair,532918,1285684
HS,2018,201807,Jul-18,Exports,826,United Kingdom,China,3305,Hair preparations; for use on the hair,10548,229448
HS,2018,201803,Mar-18,Imports,124,Canada,China,3305,Hair preparations; for use on the hair,0,492498
HS,2018,201805,May-18,Imports,724,Spain,China,3305,Hair preparations; for use on the hair,94840,344304
HS,2018,201802,Feb-18,Exports,724,Spain,China,3305,Hair preparations; for use on the hair,82022,503371
HS,2018,201803,Mar-18,Exports,826,United Kingdom,China,3305,Hair preparations; for use on the hair,73559,768111
HS,2018,201807,Jul-18,Imports,124,Canada,China,330510,Hair preparations; shampoos,,198849
HS,2018,201803,Mar-18,Imports,826,United Kingdom,China,3305,Hair preparations; for use on the hair,376755,966596
HS,2018,201808,Aug-18,Exports,826,United Kingdom,China,3305,Hair preparations; for use on the hair,48074,311886
HS,2018,201807,Jul-18,Exports,124,Canada,China,3305,Hair preparations; for use on the hair,4358,22571
HS,2018,201807,Jul-18,Imports,724,Spain,China,3305,Hair preparations; for use on the hair,110943,240464
HS,2018,201802,Feb-18,Exports,124,Canada,China,330510,Hair preparations; shampoos,13813,53539
HS,2018,201806,Jun-18,Imports,724,Spain,China,3305,Hair preparations; for use on the hair,86929,190686
HS,2018,201804,Apr-18,Exports,124,Canada,China,330510,Hair preparations; shampoos,0,22013
HS,2018,201802,Feb-18,Exports,124,Canada,China,3305,Hair preparations; for use on the hair,16752,72192
HS,2018,201806,Jun-18,Exports,124,Canada,China,330510,Hair preparations; shampoos,0,45795
HS,2018,201801,Jan-18,Imports,124,Canada,China,3305,Hair preparations; for use on the hair,,963737
HS,2018,201801,Jan-18,Imports,826,United Kingdom,China,3305,Hair preparations; for use on the hair,460587,1762217
HS,2018,201810,Oct-18,Imports,124,Canada,China,330510,Hair preparations; shampoos,,217990
HS,2018,201804,Apr-18,Imports,826,United Kingdom,China,3305,Hair preparations; for use on the hair,439765,1055882
HS,2018,201802,Feb-18,Imports,124,Canada,China,330510,Hair preparations; shampoos,,172355
HS,2018,201806,Jun-18,Imports,124,Canada,China,3305,Hair preparations; for use on the hair,0,996488
HS,2018,201805,May-18,Imports,124,Canada,China,330510,Hair preparations; shampoos,,260518
HS,2018,201802,Feb-18,Imports,826,United Kingdom,China,3305,Hair preparations; for use on the hair,479773,1218168
HS,2018,201805,May-18,Exports,724,Spain,China,3305,Hair preparations; for use on the hair,171478,1285200
HS,2018,201810,Oct-18,Exports,124,Canada,China,330510,Hair preparations; shampoos,8982,34815
HS,2018,201801,Jan-18,Exports,826,United Kingdom,China,3305,Hair preparations; for use on the hair,24689,298225
